Airport A,Airport B,Distance,Source Local Timezone,Destination Local Timezone
BNA,CLE,449,CST,EST
BNA,DEN,1013,CST,MST
BNA,DFW,631,CST,CST
BNA,DTW,473,CST,EST
BNA,LAS,1585,CST,PST
BNA,LAX,1795,CST,PST
BNA,LGA,763,CST,EST
BNA,MCO,619,CST,EST
BNA,ORD,410,CST,CST
BNA,PHX,1447,CST,MST
BNA,SEA,1975,CST,PST
CLE,BNA,449,EST,CST
CLE,DEN,1200,EST,MST
CLE,DFW,1021,EST,CST
CLE,DTW,88,EST,EST
CLE,LAS,1822,EST,PST
CLE,LAX,2050,EST,PST
CLE,LGA,418,EST,EST
CLE,MCO,899,EST,EST
CLE,ORD,311,EST,CST
CLE,PHX,1736,EST,MST
CLE,SEA,2018,EST,PST
DEN,BNA,1013,MST,CST
DEN,CLE,1200,MST,EST
DEN,DFW,642,MST,CST
DEN,DTW,1140,MST,EST
DEN,LAS,627,MST,PST
DEN,LAX,861,MST,PST
DEN,LGA,1618,MST,EST
DEN,MCO,1548,MST,EST
DEN,ORD,891,MST,CST
DEN,PHX,602,MST,MST
DEN,SEA,1022,MST,PST
DFW,BNA,631,CST,CST
DFW,CLE,1021,CST,EST
DFW,DEN,642,CST,MST
DFW,DTW,1008,CST,EST
DFW,LAS,1054,CST,PST
DFW,LAX,1233,CST,PST
DFW,LGA,1388,CST,EST
DFW,MCO,985,CST,EST
DFW,ORD,805,CST,CST
DFW,PHX,867,CST,MST
DFW,SEA,1659,CST,PST
DTW,BNA,473,EST,CST
DTW,CLE,88,EST,EST
DTW,DEN,1140,EST,MST
DTW,DFW,1008,EST,CST
DTW,LAS,1765,EST,PST
DTW,LAX,1996,EST,PST
DTW,LGA,484,EST,EST
DTW,MCO,969,EST,EST
DTW,ORD,249,EST,CST
DTW,PHX,1689,EST,MST
DTW,SEA,1936,EST,PST
LAS,BNA,1585,PST,CST
LAS,CLE,1822,PST,EST
LAS,DEN,627,PST,MST
LAS,DFW,1054,PST,CST
LAS,DTW,1765,PST,EST
LAS,LAX,236,PST,PST
LAS,LGA,2239,PST,EST
LAS,MCO,2038,PST,EST
LAS,ORD,1516,PST,CST
LAS,PHX,256,PST,MST
LAS,SEA,867,PST,PST
LAX,BNA,1795,PST,CST
LAX,CLE,2050,PST,EST
LAX,DEN,861,PST,MST
LAX,DFW,1233,PST,CST
LAX,DTW,1996,PST,EST
LAX,LAS,236,PST,PST
LAX,LGA,2466,PST,EST
LAX,MCO,2216,PST,EST
LAX,ORD,1746,PST,CST
LAX,PHX,369,PST,MST
LAX,SEA,956,PST,PST
LGA,BNA,763,EST,CST
LGA,CLE,418,EST,EST
LGA,DEN,1618,EST,MST
LGA,DFW,1388,EST,CST
LGA,DTW,484,EST,EST
LGA,LAS,2239,EST,PST
LGA,LAX,2466,EST,PST
LGA,MCO,953,EST,EST
LGA,ORD,728,EST,CST
LGA,PHX,2146,EST,MST
LGA,SEA,2409,EST,PST
MCO,BNA,619,EST,CST
MCO,CLE,899,EST,EST
MCO,DEN,1548,EST,MST
MCO,DFW,985,EST,CST
MCO,DTW,969,EST,EST
MCO,LAS,2038,EST,PST
MCO,LAX,2216,EST,PST
MCO,LGA,953,EST,EST
MCO,ORD,1007,EST,CST
MCO,PHX,1848,EST,MST
MCO,SEA,2554,EST,PST
ORD,BNA,410,CST,CST
ORD,CLE,311,CST,EST
ORD,DEN,891,CST,MST
ORD,DFW,805,CST,CST
ORD,DTW,249,CST,EST
ORD,LAS,1516,CST,PST
ORD,LAX,1746,CST,PST
ORD,LGA,728,CST,EST
ORD,MCO,1007,CST,EST
ORD,PHX,1442,CST,MST
ORD,SEA,1721,CST,PST
PHX,BNA,1447,MST,CST
PHX,CLE,1736,MST,EST
PHX,DEN,602,MST,MST
PHX,DFW,867,MST,CST
PHX,DTW,1689,MST,EST
PHX,LAS,256,MST,PST
PHX,LAX,369,MST,PST
PHX,LGA,2146,MST,EST
PHX,MCO,1848,MST,EST
PHX,ORD,1442,MST,CST
PHX,SEA,1108,MST,PST
SEA,BNA,1975,PST,CST
SEA,CLE,2018,PST,EST
SEA,DEN,1022,PST,MST
SEA,DFW,1659,PST,CST
SEA,DTW,1936,PST,EST
SEA,LAS,867,PST,PST
SEA,LAX,956,PST,PST
SEA,LGA,2409,PST,EST
SEA,MCO,2554,PST,EST
SEA,ORD,1721,PST,CST
SEA,PHX,1108,PST,MST